word,rank,frequency
charged,1258,51
ephod,1259,51
wheat,1260,51
transgression,1261,51
lies,1262,51
instruments,1263,51
doings,1264,51
builded,1265,50
each,1266,50
teeth,1267,50
haste,1268,50
desired,1269,50
former,1270,50
Simeon,1271,50
Art,1272,50
itself,1273,50
Rehoboam,1274,50
moon,1275,50
Whosoever,1276,50
camels,1277,50
blue,1278,50
nine,1279,50
prophesied,1280,50
suffered,1281,50
glorified,1282,50
substance,1283,50
Naphtali,1284,50
Azariah,1285,49
parable,1286,49
buy,1287,49
friends,1288,49
staves,1289,49
assembly,1290,49
hell,1291,49
prosper,1292,49
driven,1293,49
slept,1294,49
touched,1295,49
witnesses,1296,49
delight,1297,49
Joash,1298,49
speech,1299,49
increased,1300,49
preach,1301,49
belly,1302,49
decree,1303,49
confounded,1304,49
need,1305,49
wroth,1306,49
thorns,1307,48
transgressions,1308,48
divide,1309,48
thrust,1310,48
sinners,1311,48
sworn,1312,48
enquire,1313,48
Gibeah,1314,48
kindness,1315,48
palace,1316,48
tower,1317,48
sides,1318,48
promised,1319,48
Sodom,1320,48
milk,1321,48
clouds,1322,48
purple,1323,48
dost,1324,48
Ishmael,1325,48
Howbeit,1326,48
covering,1327,48
pride,1328,48
friend,1329,47
Remember,1330,47
Rachel,1331,47
refuge,1332,47
beauty,1333,47
Jesse,1334,47
forward,1335,47
gladness,1336,47
Praise,1337,47
damsel,1338,47
proud,1339,47
pestilence,1340,47
eternal,1341,47
pillar,1342,47
song,1343,47
Bring,1344,47
sixth,1345,47
sackcloth,1346,46
conceived,1347,46
forgotten,1348,46
snare,1349,46
interpretation,1350,46
keepeth,1351,46
lions,1352,46
measured,1353,46
Say,1354,46
multiply,1355,46
office,1356,46
Make,1357,46
goest,1358,46
low,1359,46
desolation,1360,46
vessel,1361,46
entering,1362,46
weak,1363,46
lands,1364,46
mischief,1365,46
James,1366,46
spear,1367,46
synagogue,1368,45
kind,1369,45
hard,1370,45
naked,1371,45
shield,1372,45
smoke,1373,45
male,1374,45
mourn,1375,45
cubit,1376,45
vineyards,1377,45
tidings,1378,45
believeth,1379,45
towns,1380,45
bullocks,1381,45
utter,1382,45
weep,1383,45
Zebulun,1384,45
created,1385,45
met,1386,45
washed,1387,45
profit,1388,45
bind,1389,45
handmaid,1390,45
rejoiced,1391,45
search,1392,44
weeping,1393,44
repaired,1394,44
Issachar,1395,44
compassed,1396,44
multiplied,1397,44
establish,1398,44
angry,1399,44
wild,1400,44
touch,1401,44
mercies,1402,44
rings,1403,44
bought,1404,44
bands,1405,44
glorious,1406,44
Herod,1407,44
rebuke,1408,44
besought,1409,44
else,1410,43
armies,1411,43
following,1412,43
Judaea,1413,43
fill,1414,43
doest,1415,43
flood,1416,43
dark,1417,43
ashes,1418,43
fatherless,1419,43
staff,1420,43
shekel,1421,43
Asher,1422,43
Again,1423,43
Not,1424,43
sitting,1425,43
captives,1426,43
piece,1427,43
borders,1428,43
kid,1429,43
tarry,1430,43
root,1431,43
vengeance,1432,43
satisfied,1433,43
joined,1434,43
uncircumcised,1435,43
horse,1436,43
justified,1437,43
Balak,1438,43
cursed,1439,43
Lo,1440,42
On,1441,42
perform,1442,42
changed,1443,42
age,1444,42
provoke,1445,42
Benaiah,1446,42
Nathan,1447,42
plant,1448,42
forgiven,1449,42
paths,1450,42
talked,1451,42
breath,1452,42
shepherd,1453,42
straightway,1454,42
harlot,1455,42
desert,1456,42
goods,1457,42
sitteth,1458,42
seeketh,1459,42
Shimei,1460,42
herself,1461,42
fruits,1462,42
Ahaz,1463,42
weary,1464,42
latter,1465,42
posts,1466,42
spirits,1467,42
finished,1468,42
Sarah,1469,41
Shemaiah,1470,41
Gilgal,1471,41
faint,1472,41
fierce,1473,41
suddenly,1474,41
indignation,1475,41
sure,1476,41
obeyed,1477,41
resurrection,1478,41
lords,1479,41
declared,1480,41
arrows,1481,41
bosom,1482,41
boards,1483,41
walketh,1484,41
compassion,1485,41
fig,1486,41
green,1487,41
fools,1488,40
Amaziah,1489,40
stretch,1490,40
heavy,1491,40
uncleanness,1492,40
merciful,1493,40
Zechariah,1494,40
holiness,1495,40
toucheth,1496,40
exceedingly,1497,40
grieved,1498,40
issue,1499,40
beaten,1500,40
vow,1501,40
counted,1502,40
serpent,1503,40
polluted,1504,40
candlestick,1505,40
adultery,1506,39
doing,1507,39
ships,1508,39
spare,1509,39
strife,1510,39
eighth,1511,39
porch,1512,39
quickly,1513,39
tender,1514,39
compass,1515,39
molten,1516,39
See,1517,39
least,1518,39
manifest,1519,39
air,1520,39
lawful,1521,39
possessed,1522,39
Seir,1523,39
supplication,1524,39
planted,1525,39
Merari,1526,39
Midian,1527,39
cleansed,1528,39
measures,1529,39
Gideon,1530,39
Bethlehem,1531,39
corners,1532,39
dried,1533,39
brook,1534,39
sayest,1535,39
eastward,1536,39
Samson,1537,39
bury,1538,39
rising,1539,39
bondage,1540,39
bowels,1541,39
net,1542,39
please,1543,39
leprosy,1544,39
Nay,1545,39
scatter,1546,38
passeth,1547,38
Are,1548,38
circumcised,1549,38
needy,1550,38
singers,1551,38
steps,1552,38
innocent,1553,38
girdle,1554,38
vail,1555,38
pay,1556,38
olive,1557,38
thick,1558,38
empty,1559,38
canst,1560,38
writing,1561,38
grow,1562,38
bars,1563,38
shake,1564,38
revealed,1565,38
chronicles,1566,38
shepherds,1567,38
appoint,1568,38
fenced,1569,38
appearance,1570,38
grievous,1571,38
wouldest,1572,38
shoulder,1573,38
Heshbon,1574,38
repent,1575,38
forest,1576,38
bitter,1577,38
strengthened,1578,38
pursued,1579,38
visit,1580,38
oppressed,1581,38
crucified,1582,37
building,1583,37
heal,1584,37
Sinai,1585,37
assembled,1586,37
tribute,1587,37
palm,1588,37
caught,1589,37
prevailed,1590,37
authority,1591,37
diligently,1592,37
lamps,1593,37
chains,1594,37
churches,1595,37
worketh,1596,37
continue,1597,37
waxed,1598,37
confidence,1599,37
hearing,1600,37
digged,1601,37
knowing,1602,37
receiveth,1603,37
Lot,1604,37
treasure,1605,37
Gibeon,1606,37
understood,1607,37
Sihon,1608,37
Ahaziah,1609,37
letter,1610,37
grapes,1611,37
corner,1612,37
heap,1613,37
salt,1614,37
dew,1615,37
ministered,1616,37
Tyre,1617,37
valour,1618,37
remaineth,1619,37
Jehoiakim,1620,37
inner,1621,37
adversaries,1622,36
Philip,1623,36
fourscore,1624,36
tears,1625,36
plead,1626,36
maid,1627,36
afflict,1628,36
twentieth,1629,36
tongues,1630,36
barley,1631,36
Ramah,1632,36
defile,1633,36
sealed,1634,36
street,1635,36
testimonies,1636,36
Jezreel,1637,36
broad,1638,36
Ai,1639,36
Turn,1640,36
restore,1641,36
therewith,1642,36
horn,1643,36
purpose,1644,36
fish,1645,36
nought,1646,36
despise,1647,36
sow,1648,36
fornication,1649,36
comforted,1650,36
rebellious,1651,36
instead,1652,36
Caleb,1653,36
duke,1654,35
divers,1655,35
whereby,1656,35
overlaid,1657,35
means,1658,35
Eli,1659,35
forbid,1660,35
sabbaths,1661,35
perceived,1662,35
fruitful,1663,35
oblation,1664,35
course,1665,35
waited,1666,35
remove,1667,35
ordained,1668,35
Oh,1669,35
beat,1670,35
either,1671,35
statute,1672,35
According,1673,35
goat,1674,35
anoint,1675,35
folly,1676,35
silence,1677,35
wounded,1678,35
Hamath,1679,34
array,1680,34
enquired,1681,34
circumcision,1682,34
carcase,1683,34
Beersheba,1684,34
Asaph,1685,34
